masjid_id,name,address,district,state,detail_url,source_list_url,type,lat,lon,geohash,geocode_provider,geocode_relevance,geocode_label,geocode_place_id,geocode_time_utc,checkin_radius_m
1001002,MASJID TUN TEJA RAWANG,"PERSIARAN TUN TEJA 2, 48000 RAWANG SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001002,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=5,masjid,3.2989420,101.5899420,w284z8x,aws_location,0.7476463109503236,"Persiaran Tun Teja 2, Rawang, Gombak, Selangor, Malaysia",,2026-01-08T16:36:47.702241+00:00,100
1001003,MASJID AL RIDHUAN,"BATU 7 1/2, HULU KLANG, 68000 AMPANG, SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001003,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=1,masjid,3.1967570,101.7621950,w2865tu,aws_location,0.9000564232554461,"Masjid Al-Ridhuan Batu 7 1/2, Jalan Hulu Kelang, Taman Sri Ukay, Ampang Jaya, Ulu Kelang, 68000, Gombak, Selangor, Malaysia",,2026-01-08T16:36:48.827859+00:00,100
1001004,MASJID AL - SYAKIRIN,"JALAN GOMBAK BATU 6, 53100 GOMBAK SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001004,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=3,masjid,3.2326154,101.7113455,w2866kr,aws_location,0.7832910426978804,"lot 440 a12, Jalan Gombak Batu 6, Setapak, Gombak, Selangor, Malaysia",,2026-01-08T16:36:49.648169+00:00,100
1001005,MASJID AL -SYARIFF,"KG. SIMPANG TIGA, JALAN GOMBAK, 53100 SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001005,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=2,masjid,3.2333450,101.7115970,w2866s8,aws_location,0.8784068096627381,"Masjid Al - Syarif, 3/ 53100, 6, Jalan 4, Kampung Simpang Tiga, 68100, Selangor",,2026-01-08T16:36:50.670633+00:00,100
1001006,MASJID SUNGAI CHINCHIN,"BATU 7 3/4, SUNGAI CHINCHIN, JALAN GOMBAK, GOMBAK, 53100 SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001006,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=2,masjid,3.2501612,101.7159189,w2866xe,aws_location,0.7474186134790888,"Lot 2629-5, Jalan Gombak Batu 7 3/4, Kampung Sungai Chinchin, Setapak, 53100, Gombak, Selangor, Malaysia",,2026-01-08T16:36:51.599076+00:00,100
1001007,MASJID DARUL EHSAN,"JALAN 12, TMN. TUN ABD. RAZAK, AMPANG JAYA, 68000 AMPANG, SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001007,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=1,masjid,3.1680800,101.7653860,w28658x,aws_location,0.900247063603486,"Masjid Darul Ehsan, Jalan 12, Ukay Heights, Ampang, Ulu Kelang, 68000, Gombak, Selangor, Malaysia",,2026-01-08T16:36:52.718269+00:00,100
1001008,MASJID KG. KLANG GATE BARU,"HULU KLANG, 53100 KUALA LUMPUR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001008,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=4,masjid,3.2155500,101.7398500,w28671k,aws_location,0.9001215120702732,"Masjid Kg. Klang Gate Baru Hulu Klang, Taman Melawati, 53300, Selangor",,2026-01-08T16:36:53.742515+00:00,100
1001009,MASJID AL - ANSAR,"J.K.R.G. JLN. ENGGANG TIMUR, TAMAN KERAMAT, 54200 KUALA LUMPUR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001009,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=2,masjid,3.1697750,101.7443000,w28651p,aws_location,0.7920239782307315,"Masjid Al - Ansar, Jalan Enggang Timur, Taman Keramat, Ulu Kelang, 54200, Gombak, Selangor, Malaysia",,2026-01-08T16:36:54.663835+00:00,100
1001010,MASJID ZAKARIA,"BATU 8 1/2 , JALAN GOMBAK, GOMBAK UTARA, 53100 GOMBAK, SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001010,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=2,masjid,3.2510292,101.7240087,w2866zc,aws_location,0.7112623026740644,"Lot 359B, Jalan Gombak, Batu 8 1/2, Gombak Utara, Setapak, 53100, Gombak, Selangor, Malaysia",,2026-01-08T16:36:55.686618+00:00,100
1001011,MASJID AL - KHAIRIAH,"MEDAN SRI KERAMAT, JALAN AU3/7B, HULU KLANG",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001011,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=3,masjid,3.2466828,101.7028131,w2866r1,aws_location,0.9000832894815395,"Masjid Al-Khairiah, 20, Jalan SG 7/1, Taman Sri Gombak, Batu, 68100, Gombak, Selangor, Malaysia",,2026-01-08T16:36:56.619980+00:00,100
1001012,MASJID AS - SOBIRIN,"JALAN AU 5C/5, LEMBAH KERAMAT HULU KLANG, 54200 KUALA LUMPUR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001012,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=3,masjid,3.2013600,101.7561400,w2865wb,aws_location,0.928620487168345,"Masjid as - Sobirin, 5, Jalan Au 5c, Ulu Kelang, 54200, Gombak, Selangor, Malaysia",,2026-01-08T16:36:57.636500+00:00,100
1001013,MASJID AL - HIDAYAH,"509, JALAN B11, TAMAN MELAWATI, 53100 KUALA LUMPUR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001013,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=2,masjid,3.2131400,101.7499600,w28672u,aws_location,0.9603407391543864,"509, Jalan B11, Taman Melawati, Setapak, 53100, Gombak, Selangor, Malaysia",,2026-01-08T16:36:58.657841+00:00,100
1001014,MASJID AT -TAQWA,"JALAN 11C, SELAYANG BARU, 68100 BATU CAVES, SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001014,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=2,masjid,3.2495200,101.6700500,w2863x9,aws_location,0.9003099658334065,"Jalan 11c, Selayang Baru, Selayang, Batu, Gombak, Selangor, Malaysia",,2026-01-08T16:36:59.683201+00:00,100
1001015,MASJID JAMEK KG. NAKHODA,"JALAN NAKHODA KANAN, 68100 BATU CAVES, SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001015,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=1,masjid,3.2501230,101.6777470,w2863xx,aws_location,0.915282929954201,"Jalan Nakhoda Kanan, Kampung Nakhoda, Batu, 68100, Gombak, Selangor, Malaysia",,2026-01-08T16:37:00.910755+00:00,100
1001016,MASJID AR -RAHIMAH,"G - 1231, JALAN 14, TAMAN GREENWOOD, 68100 BATU CAVES, SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001016,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=3,masjid,3.2323198,101.7019646,w2866k3,aws_location,0.8370850886403025,"Masjid Ar - Rahimah, G-1231, Jalan 14, Taman Greenwood, Batu Caves, Batu, 68100, Gombak, Selangor, Malaysia",,2026-01-08T16:37:01.934687+00:00,100
1001017,MASJID JAMIATUS SOLAHIAH,"KAMPUNG SUNGAI TUA, 68100 BATU CAVES, SELANGOR",GOMBAK,SELANGOR,https://masjid.islam.gov.my/maklumatDetailMS/1/1001017,https://masjid.islam.gov.my/maklumatMasjidSurau?negeri=&daerah=1001&page=3,masjid,3.2532800,101.6746900,w28698j,aws_location,0.9002260199255595,"Masjid Jamiatus Solahiah - Kampung Sungai Tua, Kampung Mahkota, 68100, Selangor",,2026-01-08T16:37:03.069674+00:00,100
